Time,Load (kW),hour,dayofweek,quarter,month,year
2017-03-20 04:00:00,938838.0915,4,0,1,3,2017
2017-03-20 05:00:00,945081.5454,5,0,1,3,2017
2017-03-20 06:00:00,973593.4149,6,0,1,3,2017
2017-03-20 07:00:00,1039951.764,7,0,1,3,2017
2017-03-20 08:00:00,1155230.234,8,0,1,3,2017
2017-03-20 09:00:00,1275774.738,9,0,1,3,2017
2017-03-20 10:00:00,1333642.533,10,0,1,3,2017
2017-03-20 11:00:00,1344260.485,11,0,1,3,2017
2017-03-20 12:00:00,1337270.305,12,0,1,3,2017
2017-03-20 13:00:00,1321022.665,13,0,1,3,2017
2017-03-20 14:00:00,1325809.013,14,0,1,3,2017
2017-03-20 15:00:00,1322490.787,15,0,1,3,2017
2017-03-20 16:00:00,1321726.565,16,0,1,3,2017
2017-03-20 17:00:00,1289828.914,17,0,1,3,2017
2017-03-20 18:00:00,1238524.579,18,0,1,3,2017
2017-03-20 19:00:00,1194435.468,19,0,1,3,2017
2017-03-20 20:00:00,1151563.632,20,0,1,3,2017
2017-03-20 21:00:00,1116035.555,21,0,1,3,2017
2017-03-20 22:00:00,1091370.076,22,0,1,3,2017
2017-03-20 23:00:00,1061752.066,23,0,1,3,2017
2017-03-21 00:00:00,1032739.17,0,1,1,3,2017
2017-03-21 01:00:00,1003462.017,1,1,1,3,2017
2017-03-21 02:00:00,986411.581,2,1,1,3,2017
2017-03-21 03:00:00,975442.3692,3,1,1,3,2017
2017-03-21 04:00:00,971071.4814,4,1,1,3,2017
2017-03-21 05:00:00,973178.1793,5,1,1,3,2017
2017-03-21 06:00:00,990731.261,6,1,1,3,2017
2017-03-21 07:00:00,1044374.834,7,1,1,3,2017
2017-03-21 08:00:00,1148047.444,8,1,1,3,2017
2017-03-21 09:00:00,1249571.117,9,1,1,3,2017
2017-03-21 10:00:00,1306543.898,10,1,1,3,2017
2017-03-21 11:00:00,1322956.702,11,1,1,3,2017
2017-03-21 12:00:00,1324423.42,12,1,1,3,2017
2017-03-21 13:00:00,1315972.684,13,1,1,3,2017
2017-03-21 14:00:00,1322229.604,14,1,1,3,2017
2017-03-21 15:00:00,1318455.264,15,1,1,3,2017
2017-03-21 16:00:00,1309046.668,16,1,1,3,2017
2017-03-21 17:00:00,1281501.154,17,1,1,3,2017
2017-03-21 18:00:00,1235780.995,18,1,1,3,2017
2017-03-21 19:00:00,1194239.054,19,1,1,3,2017
2017-03-21 20:00:00,1150312.307,20,1,1,3,2017
2017-03-21 21:00:00,1119503.797,21,1,1,3,2017
2017-03-21 22:00:00,1095905.874,22,1,1,3,2017
2017-03-21 23:00:00,1063608.052,23,1,1,3,2017
2017-03-22 00:00:00,1034120.711,0,2,1,3,2017
2017-03-22 01:00:00,1009530.609,1,2,1,3,2017
2017-03-22 02:00:00,991893.1011,2,2,1,3,2017
2017-03-22 03:00:00,982028.0272,3,2,1,3,2017
2017-03-22 04:00:00,976406.4193,4,2,1,3,2017
2017-03-22 05:00:00,975886.7013,5,2,1,3,2017
2017-03-22 06:00:00,989562.015,6,2,1,3,2017
2017-03-22 07:00:00,1049173.358,7,2,1,3,2017
2017-03-22 08:00:00,1163011.56,8,2,1,3,2017
2017-03-22 09:00:00,1271671.528,9,2,1,3,2017
2017-03-22 10:00:00,1325304.681,10,2,1,3,2017
2017-03-22 11:00:00,1339035.259,11,2,1,3,2017
2017-03-22 12:00:00,1346214.575,12,2,1,3,2017
2017-03-22 13:00:00,1340341.107,13,2,1,3,2017
2017-03-22 14:00:00,1348007.815,14,2,1,3,2017
2017-03-22 15:00:00,1320913.719,15,2,1,3,2017
2017-03-22 16:00:00,1316589.917,16,2,1,3,2017
2017-03-22 17:00:00,1283933.798,17,2,1,3,2017
2017-03-22 18:00:00,1240706.309,18,2,1,3,2017
2017-03-22 19:00:00,1208599.776,19,2,1,3,2017
2017-03-22 20:00:00,1163237.942,20,2,1,3,2017
2017-03-22 21:00:00,1130689.799,21,2,1,3,2017
2017-03-22 22:00:00,1108793.149,22,2,1,3,2017
2017-03-22 23:00:00,1078661.094,23,2,1,3,2017
2017-03-23 00:00:00,1046058.616,0,3,1,3,2017
2017-03-23 01:00:00,1019645.983,1,3,1,3,2017
2017-03-23 02:00:00,1001757.361,2,3,1,3,2017
2017-03-23 03:00:00,989690.3052,3,3,1,3,2017
2017-03-23 04:00:00,978765.4572,4,3,1,3,2017
2017-03-23 05:00:00,981291.8312,5,3,1,3,2017
2017-03-23 06:00:00,1003035.897,6,3,1,3,2017
2017-03-23 07:00:00,1061943.79,7,3,1,3,2017
2017-03-23 08:00:00,1176735.974,8,3,1,3,2017
2017-03-23 09:00:00,1283327.528,9,3,1,3,2017
2017-03-23 10:00:00,1330669.101,10,3,1,3,2017
2017-03-23 11:00:00,1343089.241,11,3,1,3,2017
2017-03-23 12:00:00,1350603.047,12,3,1,3,2017
2017-03-23 13:00:00,1342173.801,13,3,1,3,2017
2017-03-23 14:00:00,1356139.321,14,3,1,3,2017
2017-03-23 15:00:00,1350174.669,15,3,1,3,2017
2017-03-23 16:00:00,1341647.843,16,3,1,3,2017
2017-03-23 17:00:00,1306785.594,17,3,1,3,2017
2017-03-23 18:00:00,1250881.605,18,3,1,3,2017
2017-03-23 19:00:00,1208115.562,19,3,1,3,2017
2017-03-23 20:00:00,1174643.957,20,3,1,3,2017
2017-03-23 21:00:00,1144363.871,21,3,1,3,2017
2017-03-23 22:00:00,1115131.742,22,3,1,3,2017
2017-03-23 23:00:00,1084232.324,23,3,1,3,2017
2017-03-24 00:00:00,1054376.284,0,4,1,3,2017
2017-03-24 01:00:00,1027063.053,1,4,1,3,2017
2017-03-24 02:00:00,1008183.727,2,4,1,3,2017
2017-03-24 03:00:00,995523.5293,3,4,1,3,2017
2017-03-24 04:00:00,987648.4313,4,4,1,3,2017
2017-03-24 05:00:00,990423.7612,5,4,1,3,2017
2017-03-24 06:00:00,1006821.661,6,4,1,3,2017
2017-03-24 07:00:00,1066259.172,7,4,1,3,2017
2017-03-24 08:00:00,1183252.94,8,4,1,3,2017
2017-03-24 09:00:00,1285285.078,9,4,1,3,2017
2017-03-24 10:00:00,1336330.186,10,4,1,3,2017
2017-03-24 11:00:00,1355594.199,11,4,1,3,2017
2017-03-24 12:00:00,1354636.083,12,4,1,3,2017
2017-03-24 13:00:00,1347522.757,13,4,1,3,2017
2017-03-24 14:00:00,1361669.729,14,4,1,3,2017
2017-03-24 15:00:00,1350561.168,15,4,1,3,2017
2017-03-24 16:00:00,1336593.95,16,4,1,3,2017
2017-03-24 17:00:00,1301632.685,17,4,1,3,2017
2017-03-24 18:00:00,1252530.739,18,4,1,3,2017
2017-03-24 19:00:00,1204006.356,19,4,1,3,2017
2017-03-24 20:00:00,1161485.191,20,4,1,3,2017
2017-03-24 21:00:00,1133962.443,21,4,1,3,2017
2017-03-24 22:00:00,1104562.678,22,4,1,3,2017
2017-03-24 23:00:00,1064298.248,23,4,1,3,2017
2017-03-25 00:00:00,1031410.213,0,5,1,3,2017
2017-03-25 01:00:00,1012118.565,1,5,1,3,2017
2017-03-25 02:00:00,994928.0752,2,5,1,3,2017
2017-03-25 03:00:00,982095.9254,3,5,1,3,2017
2017-03-25 04:00:00,978078.6556,4,5,1,3,2017
2017-03-25 05:00:00,976045.8616,5,5,1,3,2017
2017-03-25 06:00:00,981316.7155,6,5,1,3,2017
2017-03-25 07:00:00,1005723.203,7,5,1,3,2017
2017-03-25 08:00:00,1063293.04,8,5,1,3,2017
2017-03-25 09:00:00,1130433.409,9,5,1,3,2017
2017-03-25 10:00:00,1178005.157,10,5,1,3,2017
2017-03-25 11:00:00,1193739.727,11,5,1,3,2017
2017-03-25 12:00:00,1194247.771,12,5,1,3,2017
2017-03-25 13:00:00,1189648.081,13,5,1,3,2017
2017-03-25 14:00:00,1197709.297,14,5,1,3,2017
2017-03-25 15:00:00,1197288.789,15,5,1,3,2017
2017-03-25 16:00:00,1188867.021,16,5,1,3,2017
2017-03-25 17:00:00,1169657.421,17,5,1,3,2017
2017-03-25 18:00:00,1147334.775,18,5,1,3,2017
2017-03-25 19:00:00,1134473.151,19,5,1,3,2017
2017-03-25 20:00:00,1115481.71,20,5,1,3,2017
2017-03-25 21:00:00,1103437.638,21,5,1,3,2017
2017-03-25 22:00:00,1092939.76,22,5,1,3,2017
2017-03-25 23:00:00,1072920.112,23,5,1,3,2017
2017-03-26 00:00:00,1050074.439,0,6,1,3,2017
2017-03-26 01:00:00,1027058.521,1,6,1,3,2017
2017-03-26 02:00:00,1011024.609,2,6,1,3,2017
2017-03-26 03:00:00,998181.0394,3,6,1,3,2017
2017-03-26 04:00:00,994106.3375,4,6,1,3,2017
2017-03-26 05:00:00,989417.7215,5,6,1,3,2017
2017-03-26 06:00:00,980170.8736,6,6,1,3,2017
2017-03-26 07:00:00,979472.1996,7,6,1,3,2017
2017-03-26 08:00:00,1000021.095,8,6,1,3,2017
2017-03-26 09:00:00,1028975.217,9,6,1,3,2017
2017-03-26 10:00:00,1054692.345,10,6,1,3,2017
2017-03-26 11:00:00,1071296.96,11,6,1,3,2017
2017-03-26 12:00:00,1080229.958,12,6,1,3,2017
2017-03-26 13:00:00,1083458.508,13,6,1,3,2017
2017-03-26 14:00:00,1091820.59,14,6,1,3,2017
2017-03-26 15:00:00,1091522.42,15,6,1,3,2017
2017-03-26 16:00:00,1087754.584,16,6,1,3,2017
2017-03-26 17:00:00,1047038.878,17,6,1,3,2017
2017-03-26 18:00:00,1056974.75,18,6,1,3,2017
2017-03-26 19:00:00,1057136.576,19,6,1,3,2017
2017-03-26 20:00:00,1049966.482,20,6,1,3,2017
2017-03-26 21:00:00,1053597.226,21,6,1,3,2017
2017-03-26 22:00:00,1047808.208,22,6,1,3,2017
2017-03-26 23:00:00,1033327.264,23,6,1,3,2017
2017-03-27 00:00:00,1016170.947,0,0,1,3,2017
2017-03-27 01:00:00,994647.313,1,0,1,3,2017
2017-03-27 02:00:00,976173.6512,2,0,1,3,2017
2017-03-27 03:00:00,954407.8333,3,0,1,3,2017
2017-03-27 04:00:00,948634.8594,4,0,1,3,2017
2017-03-27 05:00:00,958369.0472,5,0,1,3,2017
2017-03-27 06:00:00,988560.1608,6,0,1,3,2017
2017-03-27 07:00:00,1055779.076,7,0,1,3,2017
2017-03-27 08:00:00,1178547.595,8,0,1,3,2017
2017-03-27 09:00:00,1290303.928,9,0,1,3,2017
2017-03-27 10:00:00,1352383.447,10,0,1,3,2017
2017-03-27 11:00:00,1368326.039,11,0,1,3,2017
2017-03-27 12:00:00,1369735.493,12,0,1,3,2017
2017-03-27 13:00:00,1380218.549,13,0,1,3,2017
2017-03-27 14:00:00,1392788.133,14,0,1,3,2017
2017-03-27 15:00:00,1387750.097,15,0,1,3,2017
2017-03-27 16:00:00,1369111.199,16,0,1,3,2017
2017-03-27 17:00:00,1322572.657,17,0,1,3,2017
2017-03-27 18:00:00,1270255.002,18,0,1,3,2017
2017-03-27 19:00:00,1223320.409,19,0,1,3,2017
2017-03-27 20:00:00,1178197.242,20,0,1,3,2017
2017-03-27 21:00:00,1152145.912,21,0,1,3,2017
2017-03-27 22:00:00,1130012.617,22,0,1,3,2017
2017-03-27 23:00:00,1102936.551,23,0,1,3,2017
2017-03-28 00:00:00,1070296.846,0,1,1,3,2017
2017-03-28 01:00:00,1046821.578,1,1,1,3,2017
2017-03-28 02:00:00,1025189.51,2,1,1,3,2017
2017-03-28 03:00:00,1007974.881,3,1,1,3,2017
2017-03-28 04:00:00,1002856.931,4,1,1,3,2017
2017-03-28 05:00:00,1008084.091,5,1,1,3,2017
2017-03-28 06:00:00,1024926.972,6,1,1,3,2017
2017-03-28 07:00:00,1087711.233,7,1,1,3,2017
2017-03-28 08:00:00,1199602.961,8,1,1,3,2017
2017-03-28 09:00:00,1313529.862,9,1,1,3,2017
2017-03-28 10:00:00,1369282.861,10,1,1,3,2017
2017-03-28 11:00:00,1386651.585,11,1,1,3,2017
2017-03-28 12:00:00,1396367.719,12,1,1,3,2017
2017-03-28 13:00:00,1402109.723,13,1,1,3,2017
2017-03-28 14:00:00,1419028.606,14,1,1,3,2017
2017-03-28 15:00:00,1412253.642,15,1,1,3,2017
2017-03-28 16:00:00,1403675.919,16,1,1,3,2017
2017-03-28 17:00:00,1360045.259,17,1,1,3,2017
2017-03-28 18:00:00,1301910.286,18,1,1,3,2017
2017-03-28 19:00:00,1250314.349,19,1,1,3,2017
2017-03-28 20:00:00,1199171.594,20,1,1,3,2017
2017-03-28 21:00:00,1163029.462,21,1,1,3,2017
2017-03-28 22:00:00,1137169.205,22,1,1,3,2017
2017-03-28 23:00:00,1112686.307,23,1,1,3,2017
2017-03-29 00:00:00,1083962.64,0,2,1,3,2017
2017-03-29 01:00:00,1060406.99,1,2,1,3,2017
2017-03-29 02:00:00,1035210.954,2,2,1,3,2017
2017-03-29 03:00:00,1020046.164,3,2,1,3,2017
2017-03-29 04:00:00,1010926.37,4,2,1,3,2017
2017-03-29 05:00:00,1017226.104,5,2,1,3,2017
2017-03-29 06:00:00,1036764.74,6,2,1,3,2017
2017-03-29 07:00:00,1096427.077,7,2,1,3,2017
2017-03-29 08:00:00,1212142.579,8,2,1,3,2017
2017-03-29 09:00:00,1326286.433,9,2,1,3,2017
2017-03-29 10:00:00,1390697.905,10,2,1,3,2017
2017-03-29 11:00:00,1408652.331,11,2,1,3,2017
2017-03-29 12:00:00,1414462.017,12,2,1,3,2017
2017-03-29 13:00:00,1412418.031,13,2,1,3,2017
2017-03-29 14:00:00,1420620.604,14,2,1,3,2017
2017-03-29 15:00:00,1417021.462,15,2,1,3,2017
2017-03-29 16:00:00,1405805.087,16,2,1,3,2017
2017-03-29 17:00:00,1363202.685,17,2,1,3,2017
2017-03-29 18:00:00,1294050.988,18,2,1,3,2017
2017-03-29 19:00:00,1248889.203,19,2,1,3,2017
2017-03-29 20:00:00,1203877.114,20,2,1,3,2017
2017-03-29 21:00:00,1171203.696,21,2,1,3,2017
2017-03-29 22:00:00,1142412.837,22,2,1,3,2017
2017-03-29 23:00:00,1109897.627,23,2,1,3,2017
2017-03-30 00:00:00,1076743.542,0,3,1,3,2017
2017-03-30 01:00:00,1046330.474,1,3,1,3,2017
2017-03-30 02:00:00,1027613.404,2,3,1,3,2017
2017-03-30 03:00:00,1013419.939,3,3,1,3,2017
2017-03-30 04:00:00,1007275.643,4,3,1,3,2017
2017-03-30 05:00:00,1008668.089,5,3,1,3,2017
2017-03-30 06:00:00,1026979.346,6,3,1,3,2017
2017-03-30 07:00:00,1090908.765,7,3,1,3,2017
2017-03-30 08:00:00,1210200.821,8,3,1,3,2017
2017-03-30 09:00:00,1328125.239,9,3,1,3,2017
2017-03-30 10:00:00,1382738.467,10,3,1,3,2017
2017-03-30 11:00:00,1401891.359,11,3,1,3,2017
2017-03-30 12:00:00,1407427.661,12,3,1,3,2017
2017-03-30 13:00:00,1405866.655,13,3,1,3,2017
2017-03-30 14:00:00,1432481.68,14,3,1,3,2017
2017-03-30 15:00:00,1448375.904,15,3,1,3,2017
2017-03-30 16:00:00,1434584.704,16,3,1,3,2017
2017-03-30 17:00:00,1388060.57,17,3,1,3,2017
2017-03-30 18:00:00,1325708.975,18,3,1,3,2017
2017-03-30 19:00:00,1276369.014,19,3,1,3,2017
2017-03-30 20:00:00,1235462.327,20,3,1,3,2017
2017-03-30 21:00:00,1201148.702,21,3,1,3,2017
2017-03-30 22:00:00,1176087.54,22,3,1,3,2017
2017-03-30 23:00:00,1143236.283,23,3,1,3,2017
2017-03-31 00:00:00,1110647.283,0,4,1,3,2017
2017-03-31 01:00:00,1083367.194,1,4,1,3,2017
2017-03-31 02:00:00,1061000.618,2,4,1,3,2017
2017-03-31 03:00:00,1045953.924,3,4,1,3,2017
2017-03-31 04:00:00,1035614.278,4,4,1,3,2017
2017-03-31 05:00:00,1039029.13,5,4,1,3,2017
2017-03-31 06:00:00,1036307.218,6,4,1,3,2017
2017-03-31 07:00:00,1066443.62,7,4,1,3,2017
2017-03-31 08:00:00,1145364.69,8,4,1,3,2017
2017-03-31 09:00:00,1231883.161,9,4,1,3,2017
2017-03-31 10:00:00,1276904.91,10,4,1,3,2017
2017-03-31 11:00:00,1290822.08,11,4,1,3,2017
2017-03-31 12:00:00,1303510.317,12,4,1,3,2017
2017-03-31 13:00:00,1302128.628,13,4,1,3,2017
2017-03-31 14:00:00,1308258.903,14,4,1,3,2017
2017-03-31 15:00:00,1302376.572,15,4,1,3,2017
2017-03-31 16:00:00,1296811.34,16,4,1,3,2017
2017-03-31 17:00:00,1267664.516,17,4,1,3,2017
2017-03-31 18:00:00,1237103.465,18,4,1,3,2017
2017-03-31 19:00:00,1212379.892,19,4,1,3,2017
2017-03-31 20:00:00,1184447.562,20,4,1,3,2017
2017-03-31 21:00:00,1156813.326,21,4,1,3,2017
2017-03-31 22:00:00,1133205.993,22,4,1,3,2017
2017-03-31 23:00:00,1105239.125,23,4,1,3,2017
2017-04-01 00:00:00,1081834.45,0,5,2,4,2017
2017-04-01 01:00:00,1059999.368,1,5,2,4,2017
2017-04-01 02:00:00,1037776.432,2,5,2,4,2017
2017-04-01 03:00:00,1023418.608,3,5,2,4,2017
2017-04-01 04:00:00,1017838.768,4,5,2,4,2017
2017-04-01 05:00:00,1011748.412,5,5,2,4,2017
2017-04-01 06:00:00,1005692.906,6,5,2,4,2017
2017-04-01 07:00:00,1049890.436,7,5,2,4,2017
2017-04-01 08:00:00,1129409.92,8,5,2,4,2017
2017-04-01 09:00:00,1215042.513,9,5,2,4,2017
2017-04-01 10:00:00,1271374.948,10,5,2,4,2017
2017-04-01 11:00:00,1289762.783,11,5,2,4,2017
2017-04-01 12:00:00,1295528.864,12,5,2,4,2017
2017-04-01 13:00:00,1289538.972,13,5,2,4,2017
2017-04-01 14:00:00,1298144.504,14,5,2,4,2017
2017-04-01 15:00:00,1285060.954,15,5,2,4,2017
2017-04-01 16:00:00,1267502.906,16,5,2,4,2017
2017-04-01 17:00:00,1239845.907,17,5,2,4,2017
2017-04-01 18:00:00,1214170.539,18,5,2,4,2017
2017-04-01 19:00:00,1192270.538,19,5,2,4,2017
2017-04-01 20:00:00,1169652.582,20,5,2,4,2017
2017-04-01 21:00:00,1153390.47,21,5,2,4,2017
2017-04-01 22:00:00,1134816.931,22,5,2,4,2017
2017-04-01 23:00:00,1104390.519,23,5,2,4,2017
2017-04-02 00:00:00,1083979.799,0,6,2,4,2017
2017-04-02 01:00:00,1054757.658,1,6,2,4,2017
2017-04-02 02:00:00,1031771.816,2,6,2,4,2017
2017-04-02 03:00:00,1015507.71,3,6,2,4,2017
2017-04-02 04:00:00,1005511.37,4,6,2,4,2017
2017-04-02 05:00:00,998663.9585,5,6,2,4,2017
2017-04-02 06:00:00,988984.2927,6,6,2,4,2017
2017-04-02 07:00:00,981910.3386,7,6,2,4,2017
2017-04-02 08:00:00,1006754.01,8,6,2,4,2017
2017-04-02 09:00:00,1037477.696,9,6,2,4,2017
2017-04-02 10:00:00,1067492.569,10,6,2,4,2017
2017-04-02 11:00:00,1087436.883,11,6,2,4,2017
2017-04-02 12:00:00,1101556.483,12,6,2,4,2017
2017-04-02 13:00:00,1102347.907,13,6,2,4,2017
2017-04-02 14:00:00,1107896.479,14,6,2,4,2017
2017-04-02 15:00:00,1105253.833,15,6,2,4,2017
2017-04-02 16:00:00,1090685.349,16,6,2,4,2017
2017-04-02 17:00:00,1081434.721,17,6,2,4,2017
2017-04-02 18:00:00,1083853.137,18,6,2,4,2017
2017-04-02 19:00:00,1095305.569,19,6,2,4,2017
2017-04-02 20:00:00,1094661.073,20,6,2,4,2017
2017-04-02 21:00:00,1095292.645,21,6,2,4,2017
2017-04-02 22:00:00,1087013.485,22,6,2,4,2017
2017-04-02 23:00:00,1075237.477,23,6,2,4,2017
2017-04-03 00:00:00,1053953.53,0,0,2,4,2017
2017-04-03 01:00:00,1031061.656,1,0,2,4,2017
2017-04-03 02:00:00,1014093.98,2,0,2,4,2017
2017-04-03 03:00:00,1000906.034,3,0,2,4,2017
2017-04-03 04:00:00,995226.8465,4,0,2,4,2017
2017-04-03 05:00:00,999713.3364,5,0,2,4,2017
2017-04-03 06:00:00,1018785.556,6,0,2,4,2017
2017-04-03 07:00:00,1092136.579,7,0,2,4,2017
2017-04-03 08:00:00,1226304.712,8,0,2,4,2017
2017-04-03 09:00:00,1351864.042,9,0,2,4,2017
2017-04-03 10:00:00,1400862.146,10,0,2,4,2017
2017-04-03 11:00:00,1432858.983,11,0,2,4,2017
2017-04-03 12:00:00,1436024.381,12,0,2,4,2017
2017-04-03 13:00:00,1432351.677,13,0,2,4,2017
2017-04-03 14:00:00,1449370.725,14,0,2,4,2017
2017-04-03 15:00:00,1452003.289,15,0,2,4,2017
2017-04-03 16:00:00,1443140.011,16,0,2,4,2017
2017-04-03 17:00:00,1397271.124,17,0,2,4,2017
2017-04-03 18:00:00,1329613.727,18,0,2,4,2017
2017-04-03 19:00:00,1274150.308,19,0,2,4,2017
2017-04-03 20:00:00,1225077.359,20,0,2,4,2017
2017-04-03 21:00:00,1188788.882,21,0,2,4,2017
2017-04-03 22:00:00,1163831.554,22,0,2,4,2017
2017-04-03 23:00:00,1132842.785,23,0,2,4,2017
2017-04-04 00:00:00,1100260.829,0,1,2,4,2017
2017-04-04 01:00:00,1074694.13,1,1,2,4,2017
2017-04-04 02:00:00,1053430.282,2,1,2,4,2017
2017-04-04 03:00:00,1036980.896,3,1,2,4,2017
2017-04-04 04:00:00,1032110.088,4,1,2,4,2017
2017-04-04 05:00:00,1038810.878,5,1,2,4,2017
2017-04-04 06:00:00,1050236.092,6,1,2,4,2017
2017-04-04 07:00:00,1119244.435,7,1,2,4,2017
2017-04-04 08:00:00,1242867.323,8,1,2,4,2017
2017-04-04 09:00:00,1363118.606,9,1,2,4,2017
2017-04-04 10:00:00,1424186.644,10,1,2,4,2017
2017-04-04 11:00:00,1442092.596,11,1,2,4,2017
2017-04-04 12:00:00,1449823.437,12,1,2,4,2017
2017-04-04 13:00:00,1451535.233,13,1,2,4,2017
2017-04-04 14:00:00,1467597.745,14,1,2,4,2017
2017-04-04 15:00:00,1461455.735,15,1,2,4,2017
2017-04-04 16:00:00,1441140.56,16,1,2,4,2017
2017-04-04 17:00:00,1393473.16,17,1,2,4,2017
2017-04-04 18:00:00,1324456.733,18,1,2,4,2017
2017-04-04 19:00:00,1273364.53,19,1,2,4,2017
2017-04-04 20:00:00,1224903.951,20,1,2,4,2017
2017-04-04 21:00:00,1191029.458,21,1,2,4,2017
2017-04-04 22:00:00,1160421.414,22,1,2,4,2017
2017-04-04 23:00:00,1128693.905,23,1,2,4,2017
2017-04-05 00:00:00,1098477.769,0,2,2,4,2017
2017-04-05 01:00:00,1074217.684,1,2,2,4,2017
2017-04-05 02:00:00,1052578.838,2,2,2,4,2017
2017-04-05 03:00:00,1032492.06,3,2,2,4,2017
2017-04-05 04:00:00,1027780.168,4,2,2,4,2017
2017-04-05 05:00:00,1034830.82,5,2,2,4,2017
2017-04-05 06:00:00,1051030.486,6,2,2,4,2017
2017-04-05 07:00:00,1121859.909,7,2,2,4,2017
2017-04-05 08:00:00,1246769.27,8,2,2,4,2017
2017-04-05 09:00:00,1365340.389,9,2,2,4,2017
2017-04-05 10:00:00,1430864.148,10,2,2,4,2017
2017-04-05 11:00:00,1445088.074,11,2,2,4,2017
2017-04-05 12:00:00,1453713.475,12,2,2,4,2017
2017-04-05 13:00:00,1446901.438,13,2,2,4,2017
2017-04-05 14:00:00,1458067.921,14,2,2,4,2017
2017-04-05 15:00:00,1448334.086,15,2,2,4,2017
2017-04-05 16:00:00,1437699.514,16,2,2,4,2017
2017-04-05 17:00:00,1398378.242,17,2,2,4,2017
2017-04-05 18:00:00,1331445.627,18,2,2,4,2017
2017-04-05 19:00:00,1279720.116,19,2,2,4,2017
2017-04-05 20:00:00,1229010.389,20,2,2,4,2017
2017-04-05 21:00:00,1196947.462,21,2,2,4,2017
2017-04-05 22:00:00,1169617.02,22,2,2,4,2017
2017-04-05 23:00:00,1142439.549,23,2,2,4,2017
2017-04-06 00:00:00,1110722.143,0,3,2,4,2017
2017-04-06 01:00:00,1083039.004,1,3,2,4,2017
2017-04-06 02:00:00,1059772.196,2,3,2,4,2017
2017-04-06 03:00:00,1042834.094,3,3,2,4,2017
2017-04-06 04:00:00,1035728.342,4,3,2,4,2017
2017-04-06 05:00:00,1039899.282,5,3,2,4,2017
2017-04-06 06:00:00,1056591.112,6,3,2,4,2017
2017-04-06 07:00:00,1126147.055,7,3,2,4,2017
2017-04-06 08:00:00,1247770.113,8,3,2,4,2017
